w1,w2,context,answer
destroy,create,"America's war on the dictator over the past two years, following his indictment on drug charges in February 1988, is the legacy of that relationship.Before American foreign policy set out to destroy Noriega, it helped create him out of the crucible of Panama's long history of conspirators and pirates.",0
arise,fall,"After the 1987 plunge, markets agreed that it would be wise to halt trading whenever panic conditions arose.The New York Stock Exchange adopted two specific circuit breakers: If the Dow Jones index falls 250 points in a day, the exchange will halt trading for one hour; if the decline hits 400 points, the exchange will close for an additional two hours.",0
easy,tough,"Some may have forgotten -- and some younger ones may never have experienced -- what it's like to invest during a recession.Different tactics are called for, as losing money becomes easier and making money becomes tougher. ",1
relax,work,"""I don't want to give the impression that everybody can relax now,"" he said. ""We have to keep working at improving our core business to stay efficient.It's a process that never really ends."" ",1
reduce,expand,The study said Japan's carbon-dioxide emissions would slightly more than double by 2010 unless the nation reduced its dependence on fossil fuels.It said that expanding nuclear-power capability is the quickest way to lessen that dependence.,0
fly,walk,"I realized what was happening and screamed into the house for the dogs.Cupboard doors were flying, the trash can in the kitchen walked a few feet, the dogs came running, and I scooted them into the dog run and stood in the doorway myself, watching the outside trash cans dance across the concrete. ",0
lift,press,"Jaguar figures a friendly alliance with GM will fend off unwelcome advances from Ford Motor Co.But Ford, Jaguar's biggest shareholder since lifting its stake to 10.4% this week, is pressing harder for talks with Sir John. ""We're getting to the point where we are going to have to meet"" with him, one Ford official said yesterday.",0
most,few," But what is considered to be authoritarian or libertarian is the subject of sharp dispute amongst anarchists. For example, while most anarchists oppose capitalism, believing it to be authoritarian and/or exploitative, a few theorists have espoused anarcho-capitalism",1
refuse,accept,"Black, Joseph Holt, and Edwin M. Stanton had taken control of Buchanan's cabinet around January 1, 1861, and refused to accept secession",0
continent,island,"The westernmost point of this area is 3,380 km from the North American continent. All of the islands have volcanic origins, though Santa Maria also has some reef contribution",0
leave,return,"Alaska has also had a problem with brain drain as many of its young people, including most of the highest academic achievers, leave the state upon graduating high school. While for many this functions as a sort of walkabout, many do not return to the state",1
desert,ocean,"  Similar dry winds blow from the Kalahari Desert in the south.  On the eastern coast the monsoons of the Indian Ocean are regularly felt, and on the southeast hurricanes are occasionally experienced",0
top,base,"When Psyche told her two jealous elder sisters what had happened; they rejoiced secretly and each separately walked to the top of the mountain and did as Psyche described her entry to the cave, hoping Eros would pick them instead.  Zephyrus did not pick them and they fell to their deaths at the base of the mountain",1
doubt,believe," One of the central themes of Russell's atomism is that the world consists of logically independent facts, a plurality of facts, and that our knowledge depends on the data of our direct experience of them. In his later life, Russell came to doubt aspects of logical atomism, especially his principle of isomorphism, though he continued to believe that the process of philosophy ought to consist of breaking things down into their simplest components, even though we might not ever fully arrive at an ultimate wikt:atomic|atomic fact",1
right,wrong," This can be contrasted with Immanuel Kant|Kantian ethics, in which the primary focus is on individual action. ''Nicomachean Ethics'' emphasizes the importance of context to ethical behaviour 芒聙?what might be right in one situation might be wrong in another",1
freedom,slavery,"It has also become known as a favorite with supporters of freedom and human rights, both Christian and non-Christian, as it is believed by many to be a song against slavery, as Newton was once a slave trader. He continued to be a slave trader for several years after his experience, but with more compassion",1
preserve,destroy," Basically, it is a death ray, and is capable of destroying anything. The scientists claim that the project will be used to preserve peace and squash rebellion",0
demolish,build,"Hitler wanted him to build a third, even larger Chancellery, although it was never begun.  The second Chancellery was damaged by the Battle of Berlin in 1945 and was eventually demolished  by the Soviet occupiers after the war",1
body,spirit,"  He was buried in his own kirkyard, although local legends claim that the fairies took his body away, and the coffin contains only stones. The huge pine tree that still stands at the top of Doon Hill is said to contain Kirk's imprisoned spirit",0
narrow,broad,"E. are usually deep and narrow, but in the Coastal Plain they are broad and in most cases rise in three successive terraces above the stream",1
long,brief," The machine was wildly popular in the UK; as with Sinclair's ZX Spectrum, also released around that time, demand greatly exceeded supply and for some months there were long delays before customers received the machines they had ordered. A brief attempt to market the machine in the United States failed, due largely to the dominance of the Apple II family",0
abandon,adopt," Sisygambis, the queen mother, never forgave Darius for abandoning her. She disowned him and adopted Alexander as her son instead",0
enlarge,reduce,"In early 1969, just before leaving office, President Lyndon Johnson signed a proclamation substantially enlarging the Arches. Two years later President Richard Nixon signed legislation enacted by Congress which significantly reduced the area of Arches, but changed its status to a National Park",1
rare,common,"Very little use was made of the extra features of the STE: STE-enhanced and STE-only software was rare, generally being limited to serious art, CAD or music applications, with few enough even semi-major games taking advantage that they could be counted on your fingers. Quality did, however, seem to substitute for quality, as the coders who took advantage of the new abilities used them to their fullest (STE-only is as common as STE-enhanced, representing software that would have taken enough of a hit being 'downgraded' to a vanilla machine as to not be worth using)",0
quick,slow,"A transformation of a thermodynamic system can be considered adiabatic when it is quick enough so that no significant heat transfer happens between the system and the outside. At the opposite, a transformation of a thermodynamic system can be considered isothermal process|isothermal if it is slow enough so that the system's temperature can be maintained by heat exchange with the outside",1
death,immortality,"Pasternak's post-Zhivago poetry probes the universal questions of love, immortality, and reconciliation with God. The poems from his last collection, which he wrote until his death, are probably his best loved and best known",0
center,side," The Russian abacus is often used vertically, with wires from left to right in the manner of a book. The wires are usually bowed to bulge upward in the center, in order to keep the beads pinned to either of the two sides",0
special,ordinary," At the entrance, there is a lobby or barrier, inside which persons about to enter the magazine change their clothes for a special suit, and their boots for a pair made without nails. In an ammunition or shell store these precautions need not be taken except where the shell store and the adjacent cartridge store have a common entrance; persons entering may do so in their ordinary clothes",1
fail,win,"In the Democratic primaries, Gore faced an early challenge from Bill Bradley. Gore's nomination was never really in doubt and Bradley withdrew from the race in early March 2000 after failing to win any state primary or caucus",0
student,teacher,"The methods of training vary from organisation to organisation, and indeed even between different dojo in a single organisation. Typically, however, a class consists of a teacher demonstrating techniques or principles which the students then practice",0
arts,science," The Woodruff Arts Center is home to the Alliance Theatre, Atlanta Symphony, High Museum of Art, and Atlanta College of Art.  Museums geared specifically towards children include the Fernbank Science Center and Imagine It! Atlanta's Children's Museum",0
dad,mother,His dad Bunty Lara passed away in 1988. His mother Pearl Lara suffered from cancer and died in January 2002,0
reject,accept," The novel was rejected by twelve publishers, who thought it was too intellectual and opposed to the mainstream of American thought. It was finally accepted by the Bobbs-Merrill Company publishing house, thanks mainly to a member of the editorial board, Archibald Ogden, who praised the book in the highest terms and finally prevailed",1
create,destroy," He has two parents: these represent the two sticks which, when rubbed together swiftly, create fire (called a fire drill). Some say that he destroyed his parents when he was born because they could not care for him",0
fact,fiction," That makes it a logical choice as first port of call for science fiction speculation about space travel. In fact many novels, video games, and the like focus on man's eventual exploration of the system, and even colonisation of speculative planets within the system",0
break,construct,"Cell metabolism is the process by which individual cell (biology)|cells process nutrient molecules. Metabolism has two distinct divisions; catabolism, in which the cell breaks down complex molecules to produce energy and reducing power, and anabolism, where the cell uses energy and reducing power to construct complex molecules and perform other biological functions",1
man,animal," Mankind was supposed by Anaximander to have sprung from some other species of animals, probably aquatic. For, he thought, man with his extended infancy could not have survived, originally, in the manner he does presently",0
metal,wood,"Alder catkins are one of the first sources of pollen for bee species, especially honeybees, which use it for spring buildup. Alder is a preferred wood for charcoal making, formerly used in the manufacture of gunpowder, or for smelting metal ores, now used primarily for cooking",0
catch,throw,"  In baseball statistics, stolen bases are denoted by '''SB'''.  If the catcher thwarts the stolen base by throwing the runner out, the event is recorded as ''caught stealing'' (CS)",0
apple,pear,"Alcoholic beverages made from the fermentation of sugars derived from non-grain sources are generally not called beer, despite being produced by the same yeast-based biochemical reaction.  Fermented honey is called ''mead'', fermented apple juice is called ''cider'', fermented pear juice is called ''perry'', and fermented grape juice is called ''wine''",0
big,little," Foreign tourists tend to visit the big name shops like Laox or other speciality shops near the station. The locals, of course, know where to find better variety and prices, a little farther away",0
empty,full,"Often a film editor is blamed for improper continuity. That is, cutting from a shot where the beer glass is empty to one where it is full",1
child,adult," Among psychosocial treatments, intensive, sustained special education programs and behavior therapy early in life might increase the ability of children with autism to acquire language and the ability to learn. In adults with autism, some studies have found beneficial effects of the antidepressant medications clomipramine and fluoxetine and the antipsychotic medication haloperidol",1
urban,rural,"Besides the regional differences which are mentioned in this article, there exist at least two others which are important in understanding Argentine cuisine: The first distinguishes a cuisine that is essentially urban (highly influenced by the globalization of cuisine and its customs) from a rural one, which is more traditional and occasionally, more 'folkloric'. The other distinction is made on the basis of socioeconomic criteria",1
purpose,accident,"  It must, however, be remembered that the owner of the cargo is entitled under the contract of affreightment to the ordinary service of the ship and crew for the safe carriage of the cargo to its destination, and the shipowner is bound to pay all ordinary expenses incurred for the purpose of the voyage.  He must also bear all losses arising from damage to the ship by accidents",0
warm,cool," The fine soil was quite slippery. Aldrin remarked that moving from sunlight into ''Eagle'''s shadow produced no temperature change inside the suit, though the helmet was warmer in sunlight, so he felt cooler in shadow",1
theory,practice,"Of the Latin version there were about thirty editions, founded on the original translation by Gerard of Cremona. The 15th century has the honour of composing the great commentary on the text of the ''Canon'', grouping around it all that theory had imagined, and all that practice had observed",0
unique,common,"Although dramatic, this adaptation is most common in the extremely thermophilic archaea. Although not unique, the archaeal cell walls are also unusual",1
dislike,enjoy,"He disliked the country, and while his family enjoyed the seaside, and men of science were having a good time at a meeting of the British Association in the country he remained in the hot and dusty libraries of the metropolis. He said that he felt like Socrates, who declared that the farther he got from Athens the farther was he from happiness",1
swim,drown,"Sometimes, if the fish is too heavy, the eagle will be dragged into the water. It may swim to safety, but some eagles drown or succumb to hypothermia",0
special,ordinary,"1) utilizes the increased pressure in the open mouth of a straight tube facing the wind, and the decrease of pressure caused inside when the wind blows over a ring of small holes drilled through the metal of a vertical tube which is closed at the upper end. The pressure differences on which the action depends are very small, and special means are required to register them, but in the ordinary form of recording anemometer (fig",1
coast,inland,"On the coasts the climate is Mediterranean climate|Mediterranean, in the inland it is moderate continental climate|continental. In the northern part of the peninsula and on the mountains, winters are frosty and snowy, while summers are hot and dry",0
leave,join,"Following high school he attended the Newhouse School of Public Communications at [[Syracuse University]], though he left school before graduating.  Prior to joining NBC in [[1980 in sports|1980]], he was a play-by-play announcer for the [[Spirits of St",0
win,defeat,Brisbane won their first premiership in [[1992]] when they defeated the [[St. George Dragons]] 28-8,0
father,son,"Bob Knight is under contract with Texas Tech Uinversity until the year 2009, after which Pat Knight will succeed his father. Another son, Tim Knight, is an assistant athletic director for the school's men's basketball special projects",0
save,kill,"Similarly, consequentialism can fall into the trap of not valuing the individual at all. A classic example is this: there are five terminally ill patients in the hospital, but they all could be saved if the doctor were to kill a different patient (presumably for that patient's vital organs)",1
frown,smile,"Followers of Lliira wear brightly colored outfits, and dress themsleves with rubies and sapphires. They are known for always having a smile on there lips, and it is unheard of to see one with a frown",1
unique,ordinary,"Called a ''tram'' or ''tramway'', people enter this unique tramway much as one would enter an ordinary elevator, through double doors. Passing through the doors the passengers in small groups enter a horizontal cylindrical compartment containing seats on each side and a flat floor",1
bearish,bullish," Because short sales reflect investors' expectations that stock prices will decline, one would typically expect an increase in the short-interest ratio to be bearish. On the contrary, technicans consider a high short-interest ratio bullish because it indicates potential demand for the stock by those who previously sold short and have not covered the short sale",1
unintelligible,intelligible,"The linguistic diversity is particularly pronounced in southern variations such as Min, in which two towns which are five kilometers from each other can have types of speech that are completely unintelligible with one another.  By contrast, there are areas in northern China that are several hundred kilometers apart but have mutually intelligible forms of Mandarin (linguistics)(Mandarin)",1
top,base,"BNL previously reported that its Georgia branch had taken on loan commitments topping $3 billion without the Rome-based management's approval.State-owned BNL, Italy's largest bank, has filed charges against the branch's former manager, Christopher Drogoul, and a former branch vice president, alleging fraud and breach of their fiduciary duties.",0
adopt,abandon,"They, as well as numerous Latin American and East European countries that hope to adopt elements of the Spanish model, are supporting the direction Spain is taking.It would be sad for Mr. Gonzalez to abandon them to appease his foes. ",0
put,move,"The deal has, as one takeover expert puts it, ""so many moving parts.I don't see anybody who's sophisticated getting his name associated with this mess until the moving parts stop moving."" ",0
hold,release,"The information on 125 metropolitan markets is supplied by retailers such as Sears, Roebuck & Co. and K mart Corp. as well as closely held concerns such as R.H. Macy & Co.The council plans to release its regional reports monthly.",0
cover,expose,"""I'm not saying London covered itself in glory, but the events of the past week have certainly exposed Europe's weaknesses,"" says Stewart Gilchrist, a director of Scottish Amicable Investment Managers in Glasgow, Scotland, which manages about #6 billion ($9.63 billion) in institutional money.He says the problems on European exchanges included market-system breakdowns, delayed execution of buy and sell orders and trading suspensions. ""The events strengthen London's hand in becoming the center for trading European stocks,"" Mr. Gilchrist says.",1
day,birthday,"And when Mr. Engelken's sister, Martha, who was born two days before the home run, reached her 25th birthday, Mr. Engelken wrote his sports hero to tell him of the coincidence of events.Mr. Thomson sent off a card to Martha: ""It doesn't seem like 25 years since I hit that home run to celebrate your birth,"" it read.",0
wall,door,"On an office wall of the Senate intelligence committee hangs a quote from Chairman David Boren, ""Don't hold your ticket 'til the show's over."" He once used that line in a closed-door meeting on Panama, meaning don't shrink from taking action against Manuel Noriega. ",0
destroy,preserve,"The proposed legislation has a laudable goal: to assure the integrity of the U.S. futures markets.However, as is common with sweeping legislation, the proposal contains many provisions that could destroy important parts of the system it sets out to preserve. ",1
daughter,brother,"His daughter turns to dressmaking, then to peddling herself for a few piasters.One son sacrifices his own career so that his avaricious brother can succeed, while another helps support the family with money siphoned from crime. ",0
ignore,listen,"The regional officials said Washington's chief thrift regulator, Danny Wall, and his principal lieutenants repeatedly ignored warnings that Lincoln was being operated in a reckless manner, certain to cause its failure.They also accused Mr. Wall of holding improper meetings with Lincoln officials, while refusing to listen to field examiners. ",0
